,Arm length (m),Ball weight (kg),Ball radius (mm),Air temperature (deg C),Spring constant (N per m),Device weight (kg)
0,-0.08016852771553483,0.29599221900612144,-1.6725192475041764,-0.16862374515958037,1.8945583612183794,0.1531538110502488
1,-0.5309898458110099,2.1106707764615487,2.590811391384923,1.4896306632935736,0.5221088651344762,0.7171726280929775
2,1.870427623549758,1.4114700374360494,0.09582399255434917,-1.6195963525560901,1.7280948295440606,0.3360453832967161
3,-0.8476028287099172,1.50559070302995,-0.6849525070020799,0.24593985695370815,-1.3702141800854883,0.1398299134054821
4,-1.3792353267965773,0.8143487958692002,-0.0734554470908531,-1.6195963525560901,-1.3033931060544977,-0.2711376905361481
5,-0.560407737219532,0.6431565351064971,0.8414081346074456,0.867785260123641,-1.5383316177196784,0.48225978543774634
6,0.15939299804184573,-1.1894878504747606,0.7872366537863824,-1.2050327504428016,1.077651831473973,-0.22390642527734264
7,-0.8900753359627501,-0.34091166506323833,-1.2959420259040728,0.24593985695370815,-0.4638666873233302,1.3157960769824457
8,-0.5614545301596233,1.826107900791708,0.4208893883549108,-0.16862374515958037,-0.13786754792715522,1.559504368787988
9,-1.2946061686929617,-1.464681314989806,-0.2650364873627432,-1.2050327504428016,-1.4654445412366683,-0.4074618337808221
10,-0.8589899528360895,-0.45637926570512377,1.6693794448622503,-1.6195963525560901,-0.23541579885327163,0.9766306912109297
11,0.34716505558317745,-1.4276621189842673,-0.15508619368497695,-0.5831873472728689,-1.4953201967746064,0.08562925479480064
12,0.9034004894875166,1.4494273938294717,-0.47235766716218364,1.9041942654068622,-1.5224099460591567,0.21834763156114487
13,0.4056153300735923,-0.5721565687535568,-0.584391568092172,-0.16862374515958037,-1.5178182645145524,1.4304591521210979
14,0.9808207451809559,1.5432350385311078,-1.0475030681620692,1.0750670611802853,-0.30084127291317386,-1.4665250641768777
15,-0.0789011148405784,-0.4197720851512181,-1.6420604589030414,0.0386580558970639,1.4123162003538556,-1.4119685263361248
16,0.6575065348310758,-0.5103590362972827,-1.4288894364955098,0.867785260123641,-0.9081911171533874,-1.6387983524059146
17,0.41341169869947525,1.276590043054899,0.5360739981241774,-1.8268781536127345,-0.7148414110195626,1.115265229843993
18,-0.019502356183588115,0.9360755109110315,-0.5375593339953421,-0.37590554621622463,-1.6820375128491303,0.9306338191558181
19,-2.4758381895384054,-2.7278281145292347,-1.4188796486873863,1.0750670611802853,0.6044292094994254,1.242026179568214
20,-0.1662895521085367,0.44721153818964415,-1.4724078650557058,-0.16862374515958037,-1.1790577361806196,1.610204208251195
21,0.9395527961848953,0.5965960769496533,0.19255988311483568,0.0386580558970639,0.41304052240555783,1.0018305522663267
22,-0.8165207979573684,0.20529720227968046,1.8680932115642157,-0.37590554621622463,-0.3849480985384395,-0.14291136661871004
23,1.849483787222247,-0.6642542337140301,1.661834367998241,1.2823488622369295,1.4379036436473438,0.9386764072584984
24,0.8422124042738622,0.02346240077787925,-1.5000174867359235,0.24593985695370815,0.92019819299332,-1.3063856794049702
25,1.5454554515220396,-0.4040333069713298,-0.471550919809472,0.0386580558970639,1.8311112138950476,0.4620108377401507
26,1.7943927640060162,0.2068169456349426,-0.7997527091996953,0.6605034590669967,-0.9379384875162144,-1.221367638862575
27,-2.1328719477510725,-0.20789545324523037,-0.3415103167313209,0.6605034590669967,0.790211200992152,1.495114709391846
28,0.9750812427610607,-0.6284384476306233,0.6159247867451709,0.24593985695370815,-0.06492869320957827,0.0617410909029675
29,0.25405338732980565,0.15914998677122869,-0.27054072397263135,1.696912464350218,0.41817174832073556,-0.3016237347072454
30,1.2040209400549187,0.7993546309695279,0.09715832351795453,0.0386580558970639,1.4284390013686579,-0.8104883755307951
31,0.9966346553808205,0.28468665992789305,-1.5610652083428125,0.24593985695370815,-0.4264488755329911,0.9173345311298047
32,-0.5804003793270488,-0.5599884325200029,-0.6416514616677398,-0.5831873472728689,1.7728302458364216,-0.16097692716898493
33,-0.9984014997685711,0.3320484331639562,1.0465759173189606,0.24593985695370815,-0.9478611065994053,0.21966766698478551
34,-1.0083009227091684,1.0673511742321757,0.45250813070605816,1.696912464350218,1.790924115415755,-1.6436413361198303
35,0.1742025943340996,1.5942271976004265,1.7444963767937873,-0.5831873472728689,0.32557563963664315,0.38646228856440235
36,-0.9448081831353449,1.2054427191953445,-0.5420167208859985,-1.2050327504428016,-0.1922341927554185,0.3676822988976269
37,-0.9678271028460488,0.533658372121869,-0.41715747744938136,1.0750670611802853,0.6375158279210135,0.38408418330456257
38,-0.6204868772339529,-1.0165656374203376,0.7643475571791627,-0.16862374515958037,2.7093176324754706,1.491993041058817
39,0.3339379693299437,-1.3738516460811752,-1.5415083689645772,0.0386580558970639,-1.052483346293476,0.6040505587600202
